Loan Application Number,Loan Amount,Loan Duration,Interest Rate,EMI,Borrower Rating by Bank,Borrower's Duration of Employment,Home Ownership of Borrower,Annual Income of Borrower,Borrower's Verification Status,Loan Issue Date,Purpose of Loan,Debt-to-Income Ratio (A ratio calculated based on Borrower's monthly debt repayments to self-reported monthly income),Borrower Delinquency in Last Two Years,Date of Borrower's First  Loan,Number of Months Since the Borrower's Last Delinquency,The Number of Months Since the Borrower's Credit Record  was Updated,Number of Times the Borrower has Availed Loan from the Bank,Number of Negative Comments About the Borrower in Credit History,Total Credit Revolving Balance,Percentage of Credit the Borrower is Using Relative to All Available Revolving Credit,Number of Times the Borrower has Availed Loan from All Banks,Late Fees Received To Date,Last Month Payment was Received,Last Amount Received as Payment,rm_employee_id,Loan Status
35269,198000,39 months,7.86%,5769.927568,AE,8 years,Under Mortgage,905497,Source Verified,15-05-2011,Pay-off Other Loans,4.725689845,0,2/6/95,,,9,0,17095,0.206594732,20,0,1/6/14,6371.077568,2865,???
38264,164983,37 months,15.14%,5607.642785,DB,5 years,Rental,661241,Source Verified,26-09-2010,Pay-off Other Loans,14.93589527,1,21-07-2001,12,,15,0,74143,0.337363608,32,0,1/12/12,54495.16279,3956,???
24731,15201,60 months,11.24%,332.2989646,BC,3 years,Rental,357120,Not Verified,20-11-2010,Medical,15.61185293,1,8/12/00,19,,6,0,2346,0.171004016,13,163.9459548,1/9/15,332.2989646,2508,???
38301,186981,43 months,11.16%,5295.349208,BC,10 years and above,Rental,1267144,Source Verified,16-07-2010,Pay Credit Card Bill,23.16096332,0,17-11-1981,,,13,0,622927,0.740549424,14,0,1/12/11,136993.3992,1315,???
37031,35171,39 months,7.85%,1024.609268,AE,2 years,Rental,384900,Verified,12/11/10,Agriculture,3.687699522,0,14-07-2003,33,,6,0,12960,0.145662729,9,0,1/1/14,1101.719268,2277,???
25120,132076,60 months,10.70%,2851.915502,BB,Not available,Under Mortgage,234918.8,Not Verified,19-08-2011,Others,16.59305819,0,9/6/93,,,7,0,179248,0.255343688,16,0,1/9/15,2851.915502,2900,???
24225,175835,58 months,18.94%,4650.76302,EC,4 years,Under Mortgage,860832,Source Verified,31-07-2011,Others,20.18960135,0,17-05-1998,,,7,0,232988,0.810365769,14,0,1/7/14,85556.53302,563,???
27032,165061,57 months,10.36%,3679.14409,BE,Less than 1 year,Under Mortgage,661901,Source Verified,28-02-2011,Pay-off Other Loans,20.10601763,0,8/2/91,40,,19,0,113718,0.16407208,40,0,1/10/12,110217.9941,2775,???
35814,184790,42 months,13.68%,5561.796171,CB,10 years and above,Rental,730419,Not Verified,29-07-2011,Others,14.56401819,0,7/4/01,64,,3,0,129738,0.837594228,31,0,1/5/14,16831.18617,342,???
24611,131943,44 months,9.51%,3563.591446,AE,3 years,Under Mortgage,793096,Not Verified,8/6/09,Medical,9.472279152,0,22-08-2001,51,,10,0,45760,0.222766363,27,0,1/9/11,3563.591446,822,???
40464,27500, 36 months,12.99%,926.42,CC,1 year,Rental,627000,Source Verified,1/1/11,Pay-off Other Loans,3.52,0,1/1/04,29,,5,0,77781,0.804,10,0,1/12/13,986.81,656,???
27165,110066,42 months,14.64%,3364.612452,CC,10 years and above,Under Mortgage,1065363,Verified,17-10-2011,Agriculture,19.71614625,0,17-05-1997,,,16,0,101215,0.344687699,31,0,1/8/12,100839.5725,970,???
35809,175863,36 months,12.96%,5922.185393,DD,7 years,Rental,1061360,Not Verified,4/2/08,Others,12.86155616,0,11/4/01,51,0,13,0,48040,0.649871431,19,295.5424923,1/10/10,17640.48539,418,???
34451,274996,48 months,15.00%,7652.712066,DC,2 years,Rental,520248,Verified,15-01-2011,Pay Credit Card Bill,14.64046315,0,26-06-2005,,,5,0,231529,0.782966108,5,0,1/3/13,175533.1721,2771,???
33043,52661,44 months,15.48%,1575.939124,DE,1 year,Rental,834216,Source Verified,2/7/09,Pay Credit Card Bill,13.04529314,0,13-07-1999,,,15,0,154113,0.678548751,24,0,1/11/10,356.5891238,114,???
33257,164832,37 months,17.02%,5756.513205,EB,Less than 1 year,Rental,1757921,Not Verified,28-03-2010,Pay-off Other Loans,22.97697836,2,9/9/00,10,,26,0,166457,0.671396939,39,0,1/3/13,6140.193205,3522,???
29451,121124,46 months,11.66%,3277.827239,BC,3 years,Rental,460990,Verified,8/11/11,Pay Credit Card Bill,21.23978177,0,23-03-2004,,,11,0,116952,0.825251593,18,0,1/5/15,15340.31724,97,???
31475,266738,46 months,15.89%,7780.276045,DE,Less than 1 year,Rental,1324587,Verified,12/12/09,Pay-off Other Loans,17.993987,0,7/3/99,,,31,0,132291,0.189745745,57,0,1/1/12,1173.346045,639,???
27674,21897,37 months,14.16%,733.8362046,EA,7 years,Rental,870215,Not Verified,8/4/08,Pay Credit Card Bill,15.21123792,0,18-04-1994,,,12,0,233868,0.798302415,29,0,1/8/10,125.9762046,1498,???
38575,110000,36 months,7.34%,3413.679377,AD,5 years,Rental,345398,Source Verified,3/3/11,Pay-off Other Loans,17.13977842,0,2/8/05,,,4,0,91213,0.447457642,11,0,1/1/14,3828.819377,1179,???
29201,275197,44 months,15.15%,8189.535539,DB,7 years,Under Mortgage,1107896,Verified,25-05-2010,Pay-off Other Loans,15.0785478,1,9/11/93,17,,12,0,115999,0.691731147,22,0,1/2/15,35129.85554,730,???
30544,351916,44 months,7.62%,9192.404453,AD,10 years and above,Under Mortgage,1860540,Source Verified,20-10-2011,Pay-off Other Loans,9.38327696,0,22-05-1995,,,18,0,260162,0.28263717,51,0,1/4/15,9308.674453,3234,???
25449,26444,46 months,8.50%,675.6649302,AE,1 year,Rental,531399,Source Verified,6/7/11,Marriage,9.969275962,0,18-03-2005,,,10,0,17262,0.505872218,24,0,1/4/14,9588.52493,1814,???
29601,96662,41 months,14.71%,3013.693741,DA,7 years,Rental,828749,Verified,16-05-2010,Agriculture,10.06207496,0,21-01-2000,,,9,0,107454,0.918619427,22,0,1/1/13,25403.20374,3417,???
25640,21968,37 months,12.29%,716.2822114,BD,Not available,Own,183227,Verified,4/11/11,Pay-off Other Loans,14.27842768,0,10/9/93,,,16,0,8018,0.049298071,19,0,1/11/14,758.8522114,1830,???
25663,66178,48 months,8.94%,1644.958395,AE,5 years,Rental,273047,Source Verified,14-01-2012,Pay Credit Card Bill,11.64497294,0,7/7/00,,,6,0,79826,0.903373764,9,0,1/11/15,1697.758395,3122,???
28245,66011,36 months,7.99%,2068.122836,AC,1 year,Rental,744753,Not Verified,7/7/09,Others,3.662495973,0,28-03-2002,,,10,0,5766,0.047198116,26,0,1/4/12,4254.922836,2831,???
29273,82426,60 months,17.23%,2058.869408,ED,6 years,Rental,327600,Verified,7/1/11,Marriage,12.56012032,0,15-10-2004,40,,5,0,76563,0.679427363,7,0,1/9/15,2058.869408,3372,???
32244,33088,38 months,11.20%,1038.267438,BC,10 years and above,Under Mortgage,1096750,Source Verified,29-06-2011,Home Renovation,9.120206736,0,25-09-1985,,,8,0,232151,0.952702663,19,0,1/3/12,26796.96744,2255,???
27970,176059,42 months,16.66%,5560.158634,EA,3 years,Rental,891075,Verified,15-06-2010,Marriage,3.447857673,1,13-07-2004,20,,6,0,103858,0.593444536,11,305.0961257,1/9/13,18135.57863,2899,???
34011,65917,43 months,5.95%,1705.953776,AB,3 years,Under Mortgage,320091,Verified,14-04-2011,Pay-off Other Loans,25.13143037,0,24-11-1996,,,18,0,166116,0.305906331,27,0,1/9/14,2064.553776,3281,???
25635,38683,41 months,11.40%,1143.556889,BD,2 years,Rental,344347,Source Verified,2/6/11,Pay-off Other Loans,16.10922213,0,6/1/06,,,8,0,37079,0.985093812,8,0,1/12/12,25254.45689,1633,???
26476,165048,38 months,8.46%,4966.405306,AE,10 years and above,Under Mortgage,1674706,Not Verified,17-09-2011,Pay-off Other Loans,11.4909613,0,20-06-1996,,,8,0,46567,0.634207133,30,0,1/12/11,157787.2053,3235,???
31419,21075,44 months,7.44%,548.7654733,AD,3 years,Rental,294447,Not Verified,16-05-2011,Others,23.19834494,0,29-12-1997,,,10,0,93901,0.692421477,20,0,1/12/12,548.7654733,591,???
31477,54930,38 months,8.59%,1656.271129,AE,Less than 1 year,Rental,963382,Not Verified,6/7/11,Marriage,6.375026713,0,6/5/02,49,,12,0,41582,0.188820902,18,0,1/7/14,2004.861129,1735,???
27192,87917,36 months,10.08%,2840.027215,BA,10 years and above,Under Mortgage,1105250,Not Verified,1/6/11,Pay Credit Card Bill,16.15170192,0,15-06-1989,59,,12,0,196184,0.401361646,28,0,1/12/13,16880.97721,1861,???
38483,126463,43 months,15.12%,3827.044707,DB,Less than 1 year,Rental,325935,Source Verified,31-05-2010,Pay-off Other Loans,21.83140129,0,26-04-2006,27,,7,0,17920,0.362656323,12,0,1/12/12,48832.11471,2786,???
27372,109893,38 months,10.03%,3387.25561,BB,4 years,Under Mortgage,997206,Not Verified,23-04-2011,Pay Credit Card Bill,15.46043148,0,10/7/94,,,23,0,185233,0.370066158,52,0,1/5/14,3632.44561,460,???
31217,241845,58 months,13.61%,5712.990584,CB,3 years,Under Mortgage,494558,Verified,13-09-2011,Buy House,8.064390236,0,7/9/86,,,6,0,143707,0.925292682,33,0,1/9/12,5712.990584,2090,???
39186,26543,41 months,13.53%,812.0962729,CB,1 year,Rental,557658,Not Verified,16-09-2011,Pay-off Other Loans,6.765007735,0,22-11-2006,27,,6,0,10229,0.642327728,9,0,1/1/15,906.4762729,1138,???
34598,106662,36 months,8.85%,3384.45974,BA,2 years,Under Mortgage,657110,Not Verified,18-12-2010,Pay-off Other Loans,8.493131982,0,26-05-2001,,,4,0,56651,0.318032627,19,0,1/11/13,3505.23974,3043,???
32602,33070,41 months,5.81%,891.2807163,AB,4 years,Rental,261698,Verified,18-05-2011,Pay-off Other Loans,14.67376763,0,9/11/94,,,6,0,25882,0.16985505,19,0,1/9/14,1081.910716,1574,???
36496,77102,36 months,6.43%,2360.627434,AD,6 years,Under Mortgage,636337,Source Verified,23-02-2011,Home Renovation,17.86253388,0,4/2/06,,,9,0,111760,0.466163563,12,0,1/12/13,2551.257434,931,???
39905,55129,39 months,13.94%,1765.814886,EB,Less than 1 year,Under Mortgage,1093155,Not Verified,12/9/07,Pay Credit Card Bill,5.97479664,0,,49,0,4,0,,0.664292461,8,0,1/10/10,1785.284886,633,???
36706,209183,53 months,16.64%,5599.853815,DB,3 years,Own,418909,Source Verified,27-01-2012,Pay-off Other Loans,18.0225863,0,29-10-2001,63,,15,0,89949,0.679357029,30,0,1/12/13,5599.853815,587,???
32920,203675,39 months,12.90%,6420.741066,CA,3 years,Rental,678472,Verified,6/10/09,Pay-off Other Loans,11.73701904,0,30-12-1999,40,,13,0,105281,0.455925635,38,0,1/3/11,129103.6311,981,???
29575,85320,41 months,10.29%,2476.981309,BC,Less than 1 year,Own,294991,Source Verified,27-02-2011,Pay-off Other Loans,21.15317389,0,15-08-2002,,,5,0,131457,0.819936334,14,0,1/7/13,2442.221309,1380,???
32665,26587,37 months,14.41%,894.2314175,EB,Less than 1 year,Rental,674266,Not Verified,7/2/08,Pay Credit Card Bill,22.52931122,0,31-10-1991,0,0,18,0,277408,0.941636458,37,0,1/1/11,961.6614175,3117,???
32507,116216,50 months,14.31%,3099.091132,CE,1 year,Under Mortgage,314915,Not Verified,26-05-2011,Start Business,22.17725379,0,29-07-1995,79,109,10,1,4538,0.312362291,14,0,1/12/12,69687.26113,2457,???
30124,38579,41 months,6.13%,1045.353194,AA,10 years and above,Under Mortgage,550304,Source Verified,31-12-2011,Pay-off Other Loans,20.41915581,0,16-06-1997,,,11,0,32446,0.29178852,23,0,1/2/14,16863.24319,2245,???
27673,79367,39 months,13.17%,2512.458376,CD,Less than 1 year,Under Mortgage,667320,Not Verified,3/12/10,Agriculture,11.24911651,0,7/8/02,,,15,0,46147,0.613763336,22,0,1/2/14,2789.768376,719,???
27037,198180,60 months,13.05%,4514.296229,CA,6 years,Under Mortgage,1245554,Verified,3/10/11,Start Business,11.54018991,0,6/8/94,,,9,0,230070,0.75814362,28,0,1/4/15,70950.00623,3225,???
29134,44022,44 months,9.30%,1184.522235,AD,1 year,Rental,575202,Not Verified,14-04-2009,Agriculture,0.360363486,0,5/5/99,,,5,0,7729,0.078084867,4,0,1/12/10,166.87,3427,???
27115,49584,48 months,19.74%,1501.873526,GA,8 years,Under Mortgage,581131,Not Verified,16-09-2009,Pay-off Other Loans,23.80185121,0,20-04-1998,,,19,0,59612,0.372517687,35,0,1/7/13,1651.143526,850,???
25607,176078,60 months,16.06%,4287.11643,DB,10 years and above,Own,651169,Source Verified,17-07-2011,Agriculture,14.30259776,1,29-10-1988,21,,9,0,33671,0.336882902,31,0,1/6/14,4386.11643,1498,???
27928,109969,47 months,13.33%,3016.032217,CA,Less than 1 year,Rental,283567,Source Verified,11/1/12,Pay-off Other Loans,14.44015828,0,28-09-2002,70,,7,0,88422,0.779638393,15,0,1/4/13,3016.032217,1071,???
24623,101568,50 months,17.48%,2874.42299,ED,6 years,Rental,223047,Source Verified,14-02-2011,Pay-off Other Loans,10.01900699,1,5/3/07,19,,9,0,50476,0.617532722,7,0,1/12/12,1847.90299,909,???
27131,105514,60 months,15.10%,2515.873058,DC,5 years,Rental,453648,Source Verified,19-04-2011,Purchase Car,5.001250213,1,7/3/97,4,,8,0,61354,0.719065714,24,0,1/3/15,8824.923058,1758,???
37337,37546,39 months,9.01%,1114.108626,AE,7 years,Rental,306163,Not Verified,23-12-2009,Pay Credit Card Bill,19.81442284,0,21-10-1990,,,3,0,38715,0.166944045,5,0,1/1/13,2399.128626,1735,???
30035,220107,38 months,11.53%,6941.730106,BB,4 years,Under Mortgage,1092987,Verified,15-11-2009,Pay-off Other Loans,10.86042489,0,9/4/01,,,11,0,15673,0.056029573,17,0,1/8/12,5793.880106,3437,???
39767,21811,39 months,7.50%,631.8838075,AD,8 years,Under Mortgage,664464,Not Verified,28-09-2011,Purchase Car,26.75641957,0,30-03-1991,,,15,0,546683,0.57488505,34,0,1/10/14,730.1138075,2428,???
40177,77195,46 months,8.89%,1986.395836,AE,2 years,Rental,362241,Not Verified,5/1/12,Pay-off Other Loans,17.45838968,0,17-04-2003,,,9,0,85694,0.763739212,18,0,1/9/15,2057.785836,1986,???
39828,51330,44 months,13.15%,1476.689694,CB,5 years,Own,305601.8,Not Verified,14-12-2009,Pay-off Other Loans,21.15094139,0,31-12-1993,29,,7,0,262139,0.735121079,22,0,1/4/13,4918.039694,2992,???
24694,52690,47 months,7.56%,1298.715496,AD,3 years,Own,306162,Not Verified,8/7/11,Purchase Car,13.54525519,0,16-11-1999,76,,9,0,42348,0.372471536,21,0,1/4/15,1434.345496,3364,???
25674,44194,60 months,7.93%,894.6675658,AE,3 years,Rental,744184,Not Verified,8/9/10,Marriage,14.81718409,0,29-06-2004,,,10,0,12003,0.095545245,14,0,1/7/15,1013.137566,1268,???
34544,32876,45 months,10.12%,881.0393273,BB,6 years,Rental,308339,Not Verified,26-04-2010,Others,4.230389588,0,7/3/04,,,5,0,4387,0.274950704,15,0,1/12/13,1035.479327,940,???
29809,22707,43 months,7.40%,602.7428923,AD,10 years and above,Own,556465,Verified,9/8/11,Home Renovation,23.56347266,0,17-06-1991,47,,12,0,137139,0.408627063,21,0,1/2/15,685.7928923,333,???
34693,164844,46 months,13.34%,4597.092114,CD,10 years and above,Under Mortgage,513522,Source Verified,28-02-2009,Pay-off Other Loans,13.35286989,0,28-08-1997,,,7,0,204914,0.941415341,17,0,1/11/12,4768.252114,990,???
35405,43907,52 months,19.16%,1249.101962,ED,10 years and above,Under Mortgage,835862,Not Verified,7/6/11,Pay-off Other Loans,19.65174323,0,16-10-1992,,,5,0,150433,0.939425446,39,0,1/3/13,28434.50196,288,???
29586,105698,47 months,7.96%,2625.056804,AD,1 year,Rental,784047,Not Verified,19-12-2011,Pay Credit Card Bill,16.62181952,0,8/2/01,51,,16,0,24409,0.215020079,36,0,1/12/14,23206.7168,2677,???
30938,274891,48 months,11.08%,7115.561581,BD,5 years,Under Mortgage,1312894,Not Verified,26-04-2010,Pay-off Other Loans,22.87856207,0,24-06-1994,,,13,0,1001779,0.759859065,38,0,1/2/14,7783.811581,747,???
35216,159379,43 months,16.17%,4907.780352,DE,9 years,Under Mortgage,302667,Not Verified,11/6/10,Others,7.641799815,0,21-09-1998,50,,6,0,9061,0.153861929,17,299.481183,1/2/13,1494.260352,173,???
31090,52737,43 months,8.54%,1427.865148,AE,Less than 1 year,Rental,362037,Verified,21-10-2011,Pay-off Other Loans,9.444858929,0,10/3/04,,,11,0,69757,0.549993999,16,0,1/10/14,9868.055148,2224,???
27125,154161,60 months,13.62%,3557.080946,CB,2 years,Under Mortgage,524030,Not Verified,18-06-2011,Pay-off Other Loans,13.26602444,0,22-05-1998,,,13,0,145397,0.70419625,41,0,1/6/15,37384.17095,2384,???
32767,167065,56 months,11.04%,3830.805321,BC,6 years,Under Mortgage,559811,Not Verified,3/6/11,Pay-off Other Loans,11.18232406,0,29-03-1997,,,5,0,200870,0.642100971,18,0,1/2/14,79093.68532,1696,???
38169,68567,38 months,13.91%,2241.238622,CE,3 years,Rental,271022,Not Verified,14-12-2010,Pay Credit Card Bill,18.52649605,0,2/5/07,,,10,0,63783,0.725076027,16,0,1/12/13,2326.488622,1019,???
35172,131972,40 months,15.75%,4261.649799,EC,Less than 1 year,Rental,497716,Not Verified,12/12/08,Pay-off Other Loans,12.39000851,0,9/3/04,,,8,0,136872,0.985865914,8,0,1/11/11,22261.6098,1118,???
26497,384937,58 months,12.45%,8865.33872,BD,10 years and above,Under Mortgage,1195627,Verified,3/12/11,Pay-off Other Loans,14.18246097,0,16-03-1980,48,,16,0,459919,0.35926429,33,0,1/8/12,8865.33872,2689,???
24599,165088,41 months,9.44%,4726.557414,BA,6 years,Under Mortgage,1256511,Not Verified,20-05-2011,Home Renovation,2.422949872,0,15-03-2002,,45,13,2,138545,0.137769686,39,0,1/8/12,4726.557414,320,???
36907,76891,48 months,6.58%,1826.21305,AB,10 years and above,Under Mortgage,587182,Source Verified,3/11/10,Home Renovation,11.70470929,0,22-04-1998,,,9,0,24566,0.088659433,19,0,1/12/12,48788.07305,1125,???
28922,27605,41 months,7.85%,769.7407927,AC,2 years,Rental,264287,Not Verified,16-01-2010,Others,0.73069769,0,4/11/03,52,,6,0,2233,0.028994567,13,0,1/9/11,16840.52079,3436,???
36712,65880,44 months,11.03%,1827.272611,BA,1 year,Rental,521283,Not Verified,1/12/09,Pay-off Other Loans,9.021144774,0,12/5/01,,,8,0,40353,0.311733886,11,0,1/10/10,23462.07261,2793,???
24885,203447,47 months,13.06%,5552.265126,CC,6 years,Own,611633,Verified,5/7/09,Pay-off Other Loans,21.67323504,0,29-03-1998,,,12,0,274092,0.622170852,28,0,1/11/11,5552.265126,637,???
35202,95188,48 months,8.64%,2352.641235,AE,3 years,Rental,658834,Verified,22-10-2011,Pay Credit Card Bill,8.185285492,0,1/4/01,44,,6,0,81965,0.44975176,14,0,1/8/15,2677.801235,3687,???
35157,274888,39 months,21.10%,9798.639361,GD,5 years,Own,890338,Not Verified,3/4/10,Buy House,1.470334689,1,3/12/03,11,,2,0,1603,0.003839521,5,1148.48334,1/6/13,28100.10936,1834,???
39498,274893,45 months,10.95%,7475.694168,BD,4 years,Under Mortgage,1754411,Verified,8/3/10,Pay Credit Card Bill,10.16705747,0,27-04-1996,,,19,0,419764,0.415027237,50,0,1/8/13,26278.10417,1056,???
25706,54938,38 months,5.62%,1581.45947,AA,10 years and above,Under Mortgage,549917,Not Verified,19-06-2011,Home Renovation,10.35447526,0,2/5/84,,,9,0,6859,0.619910956,25,0,1/3/14,1581.45947,818,???
28103,106504,41 months,18.31%,3513.739843,GD,Less than 1 year,Own,617380,Not Verified,29-03-2008,Pay-off Other Loans,25.24664409,0,19-02-1999,42,0,8,0,144879,0.976527301,11,0,1/6/11,3729.999843,3408,???
32764,56547,60 months,11.32%,1238.40088,BD,10 years and above,Under Mortgage,794109,Verified,30-07-2011,Purchase Car,8.700524097,0,19-01-1988,,111,9,1,151060,0.815995861,26,0,1/9/15,1238.40088,3939,???
26563,275100,46 months,10.53%,7294.653985,BC,3 years,Under Mortgage,762378,Not Verified,28-05-2010,Pay-off Other Loans,18.95399294,0,24-10-1992,,,11,0,174964,0.160730921,18,0,1/8/11,242359.484,1139,???
30989,95900,46 months,6.63%,2366.674969,AB,5 years,Under Mortgage,785629,Source Verified,28-10-2010,Pay-off Other Loans,9.401076984,0,31-05-2000,,,10,0,220270,0.380973289,34,0,1/1/12,50309.95497,296,???
29524,131914,36 months,16.46%,4667.520509,DA,5 years,Under Mortgage,798393,Not Verified,10/12/11,Pay-off Other Loans,15.8824532,1,21-09-1993,19,,12,0,180067,0.673111198,19,0,1/11/14,4731.760509,394,???
29896,60415,40 months,11.68%,1830.690694,BD,2 years,Rental,383515,Not Verified,4/7/11,Pay-off Other Loans,24.42205964,0,31-10-2002,,,13,0,107205,0.526975,25,0,1/10/14,1955.760694,556,???
29755,49676,41 months,10.54%,1448.02625,BB,5 years,Rental,382222,Not Verified,5/6/11,Pay-off Other Loans,19.38384815,0,5/2/05,41,,5,0,29891,0.473064718,13,0,1/11/12,33936.19625,2744,???
29120,88005,60 months,9.91%,1866.074115,BB,5 years,Rental,355611,Not Verified,30-04-2011,Pay-off Other Loans,3.131793928,0,3/2/06,54,,6,0,17251,0.151124011,8,0,1/5/15,12615.05411,1276,???
36682,320077,53 months,18.52%,8885.459021,EA,2 years,Under Mortgage,1679506,Verified,14-01-2012,Agriculture,17.81870974,0,23-09-2000,81,,13,0,148371,0.679545385,41,0,1/10/11,308619.179,2822,???
25338,43828,55 months,13.65%,1076.28205,CB,10 years and above,Under Mortgage,611600,Verified,2/9/10,Home Renovation,8.337885709,0,31-12-1993,58,,7,0,6135,0.456784846,18,0,1/12/10,34291.44205,2273,???
25752,110188,47 months,7.36%,2705.570336,AD,2 years,Rental,791348,Source Verified,27-10-2010,Medical,8.726960745,0,12/8/99,,,13,0,166955,0.293096049,21,0,1/9/13,1753.850336,1411,???
34658,39638,36 months,8.09%,1243.769221,AD,8 years,Under Mortgage,588420,Source Verified,5/12/11,Agriculture,19.27377053,0,11/4/01,,,16,0,42679,0.136934888,19,0,1/3/14,9704.419221,3040,???
27433,16480,44 months,12.19%,466.3020195,BE,1 year,Own,257128,Not Verified,28-01-2009,Others,21.33820999,0,4/11/04,,,6,0,21429,0.813694484,7,0,1/8/12,490.3920195,3204,???
26436,109815,41 months,12.55%,3307.26447,BE,6 years,Own,400418,Verified,20-01-2012,Pay-off Other Loans,16.0692066,0,3/5/07,,,8,0,70682,0.667047858,13,0,1/8/14,3307.26447,1365,???
29690,219936,41 months,10.74%,6432.633015,BD,10 years and above,Own,598081,Source Verified,20-02-2011,Agriculture,14.45299415,0,27-04-1999,,,4,0,57354,0.281919802,17,0,1/10/12,6432.633015,1888,???
33516,109896,43 months,7.62%,2928.393238,AE,3 years,Under Mortgage,1454308,Verified,27-03-2011,Marriage,12.41565349,0,24-03-2000,,,8,0,106319,0.386193238,20,0,1/9/13,42919.44324,186,???
35240,87981,42 months,16.38%,2766.400711,FC,10 years and above,Under Mortgage,1919587,Not Verified,18-04-2008,Others,24.05615888,0,9/8/95,0,0,19,0,722402,0.999326495,37,0,1/3/11,2776.410711,2137,???
26018,109993,41 months,8.56%,3103.542722,AD,4 years,Own,956905,Verified,9/10/09,Pay Credit Card Bill,2.152342424,0,28-03-2000,,,6,0,109774,0.349258464,15,0,1/10/12,13435.18272,1075,???
37916,131816,47 months,6.66%,3194.120863,AB,7 years,Under Mortgage,549610,Source Verified,30-12-2011,Pay-off Other Loans,22.21146973,0,13-03-2000,,,11,0,204570,0.579487447,34,0,1/1/14,83375.65086,897,???
27909,145363,50 months,19.90%,4299.665848,EE,10 years and above,Under Mortgage,443154,Verified,11/9/11,Pay-off Other Loans,24.41759949,0,14-02-1978,29,,10,0,329047,0.888346968,29,181.3750388,1/3/11,8320.385848,2273,???
